"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","Month","Value","Flag Codes"
"TUR","CPI","TOT","AGRWTH","M","1959-10",26.11111,
"TUR","CPI","TOT","AGRWTH","M","1959-11",22.87234,
"TUR","CPI","TOT","AGRWTH","M","1959-12",17.17172,
"TUR","CPI","TOT","AGRWTH","M","1960-01",16.58291,
"TUR","CPI","TOT","AGRWTH","M","1960-02",13.65854,
"TUR","CPI","TOT","AGRWTH","M","1960-03",12.07729,
"TUR","CPI","TOT","AGRWTH","M","1960-04",12.07729,
"TUR","CPI","TOT","AGRWTH","M","1960-05",11.5942,
"TUR","CPI","TOT","AGRWTH","M","1960-06",6.511628,
"TUR","CPI","TOT","AGRWTH","M","1960-07",2.252252,
"TUR","CPI","TOT","AGRWTH","M","1960-08",1.801802,
"TUR","CPI","TOT","AGRWTH","M","1960-09",1.809955,
"TUR","CPI","TOT","AGRWTH","M","1960-10",-0.8810573,
"TUR","CPI","TOT","AGRWTH","M","1960-11",-3.030303,
"TUR","CPI","TOT","AGRWTH","M","1960-12",-2.586207,
"TUR","CPI","TOT","AGRWTH","M","1961-01",-1.724138,
"TUR","CPI","TOT","AGRWTH","M","1961-02",-0.8583691,
"TUR","CPI","TOT","AGRWTH","M","1961-03",2.155172,
"TUR","CPI","TOT","AGRWTH","M","1961-04",0.4310345,
"TUR","CPI","TOT","AGRWTH","M","1961-05",2.597403,
"TUR","CPI","TOT","AGRWTH","M","1961-06",3.056769,
"TUR","CPI","TOT","AGRWTH","M","1961-07",4.845815,
"TUR","CPI","TOT","AGRWTH","M","1961-08",3.982301,
"TUR","CPI","TOT","AGRWTH","M","1961-09",4.444445,
"TUR","CPI","TOT","AGRWTH","M","1961-10",7.111111,
"TUR","CPI","TOT","AGRWTH","M","1961-11",6.25,
"TUR","CPI","TOT","AGRWTH","M","1961-12",6.19469,
"TUR","CPI","TOT","AGRWTH","M","1962-01",5.263158,
"TUR","CPI","TOT","AGRWTH","M","1962-02",6.493506,
"TUR","CPI","TOT","AGRWTH","M","1962-03",4.219409,
"TUR","CPI","TOT","AGRWTH","M","1962-04",4.291845,
"TUR","CPI","TOT","AGRWTH","M","1962-05",2.531646,
"TUR","CPI","TOT","AGRWTH","M","1962-06",3.389831,
"TUR","CPI","TOT","AGRWTH","M","1962-07",2.10084,
"TUR","CPI","TOT","AGRWTH","M","1962-08",3.404255,
"TUR","CPI","TOT","AGRWTH","M","1962-09",3.404255,
"TUR","CPI","TOT","AGRWTH","M","1962-10",2.074689,
"TUR","CPI","TOT","AGRWTH","M","1962-11",4.621849,
"TUR","CPI","TOT","AGRWTH","M","1962-12",5,
"TUR","CPI","TOT","AGRWTH","M","1963-01",6.25,
"TUR","CPI","TOT","AGRWTH","M","1963-02",5.691057,
"TUR","CPI","TOT","AGRWTH","M","1963-03",6.072875,
"TUR","CPI","TOT","AGRWTH","M","1963-04",6.995885,
"TUR","CPI","TOT","AGRWTH","M","1963-05",7.407407,
"TUR","CPI","TOT","AGRWTH","M","1963-06",7.377049,
"TUR","CPI","TOT","AGRWTH","M","1963-07",6.995885,
"TUR","CPI","TOT","AGRWTH","M","1963-08",6.17284,
"TUR","CPI","TOT","AGRWTH","M","1963-09",6.584362,
"TUR","CPI","TOT","AGRWTH","M","1963-10",6.910569,
"TUR","CPI","TOT","AGRWTH","M","1963-11",5.62249,
"TUR","CPI","TOT","AGRWTH","M","1963-12",4.365079,
"TUR","CPI","TOT","AGRWTH","M","1964-01",4.313725,
"TUR","CPI","TOT","AGRWTH","M","1964-02",1.923077,
"TUR","CPI","TOT","AGRWTH","M","1964-03",0,
"TUR","CPI","TOT","AGRWTH","M","1964-04",0,
"TUR","CPI","TOT","AGRWTH","M","1964-05",1.149425,
"TUR","CPI","TOT","AGRWTH","M","1964-06",0.7633588,
"TUR","CPI","TOT","AGRWTH","M","1964-07",0,
"TUR","CPI","TOT","AGRWTH","M","1964-08",1.162791,
"TUR","CPI","TOT","AGRWTH","M","1964-09",1.158301,
"TUR","CPI","TOT","AGRWTH","M","1964-10",0.3802281,
"TUR","CPI","TOT","AGRWTH","M","1964-11",1.140684,
"TUR","CPI","TOT","AGRWTH","M","1964-12",1.520913,
"TUR","CPI","TOT","AGRWTH","M","1965-01",1.12782,
"TUR","CPI","TOT","AGRWTH","M","1965-02",3.018868,
"TUR","CPI","TOT","AGRWTH","M","1965-03",3.053435,
"TUR","CPI","TOT","AGRWTH","M","1965-04",4.230769,
"TUR","CPI","TOT","AGRWTH","M","1965-05",3.409091,
"TUR","CPI","TOT","AGRWTH","M","1965-06",4.166667,
"TUR","CPI","TOT","AGRWTH","M","1965-07",5.769231,
"TUR","CPI","TOT","AGRWTH","M","1965-08",7.279694,
"TUR","CPI","TOT","AGRWTH","M","1965-09",6.48855,
"TUR","CPI","TOT","AGRWTH","M","1965-10",5.681818,
"TUR","CPI","TOT","AGRWTH","M","1965-11",4.887218,
"TUR","CPI","TOT","AGRWTH","M","1965-12",5.617978,
"TUR","CPI","TOT","AGRWTH","M","1966-01",8.178438,
"TUR","CPI","TOT","AGRWTH","M","1966-02",8.424909,
"TUR","CPI","TOT","AGRWTH","M","1966-03",12.59259,
"TUR","CPI","TOT","AGRWTH","M","1966-04",12.91513,
"TUR","CPI","TOT","AGRWTH","M","1966-05",10.62271,
"TUR","CPI","TOT","AGRWTH","M","1966-06",5.818182,
"TUR","CPI","TOT","AGRWTH","M","1966-07",6.181818,
"TUR","CPI","TOT","AGRWTH","M","1966-08",5,
"TUR","CPI","TOT","AGRWTH","M","1966-09",6.09319,
"TUR","CPI","TOT","AGRWTH","M","1966-10",6.451613,
"TUR","CPI","TOT","AGRWTH","M","1966-11",8.602151,
"TUR","CPI","TOT","AGRWTH","M","1966-12",10.99291,
"TUR","CPI","TOT","AGRWTH","M","1967-01",12.02749,
"TUR","CPI","TOT","AGRWTH","M","1967-02",12.16216,
"TUR","CPI","TOT","AGRWTH","M","1967-03",10.19737,
"TUR","CPI","TOT","AGRWTH","M","1967-04",9.803922,
"TUR","CPI","TOT","AGRWTH","M","1967-05",13.24503,
"TUR","CPI","TOT","AGRWTH","M","1967-06",17.86942,
"TUR","CPI","TOT","AGRWTH","M","1967-07",17.46575,
"TUR","CPI","TOT","AGRWTH","M","1967-08",15.64626,
"TUR","CPI","TOT","AGRWTH","M","1967-09",15.2027,
"TUR","CPI","TOT","AGRWTH","M","1967-10",16.16162,
"TUR","CPI","TOT","AGRWTH","M","1967-11",15.84158,
"TUR","CPI","TOT","AGRWTH","M","1967-12",12.46006,
"TUR","CPI","TOT","AGRWTH","M","1968-01",8.895705,
"TUR","CPI","TOT","AGRWTH","M","1968-02",7.165152,
"TUR","CPI","TOT","AGRWTH","M","1968-03",5.577958,
"TUR","CPI","TOT","AGRWTH","M","1968-04",5.654762,
"TUR","CPI","TOT","AGRWTH","M","1968-05",4.108501,
"TUR","CPI","TOT","AGRWTH","M","1968-06",4.571066,
"TUR","CPI","TOT","AGRWTH","M","1968-07",5.413763,
"TUR","CPI","TOT","AGRWTH","M","1968-08",6.962163,
"TUR","CPI","TOT","AGRWTH","M","1968-09",6.648491,
"TUR","CPI","TOT","AGRWTH","M","1968-10",6.859117,
"TUR","CPI","TOT","AGRWTH","M","1968-11",5.331916,
"TUR","CPI","TOT","AGRWTH","M","1968-12",5.555228,
"TUR","CPI","TOT","AGRWTH","M","1969-01",4.95929,
"TUR","CPI","TOT","AGRWTH","M","1969-02",5.022157,
"TUR","CPI","TOT","AGRWTH","M","1969-03",5.646359,
"TUR","CPI","TOT","AGRWTH","M","1969-04",5.551444,
"TUR","CPI","TOT","AGRWTH","M","1969-05",6.051661,
"TUR","CPI","TOT","AGRWTH","M","1969-06",5.274725,
"TUR","CPI","TOT","AGRWTH","M","1969-07",4.142442,
"TUR","CPI","TOT","AGRWTH","M","1969-08",4.118497,
"TUR","CPI","TOT","AGRWTH","M","1969-09",3.82948,
"TUR","CPI","TOT","AGRWTH","M","1969-10",4.062723,
"TUR","CPI","TOT","AGRWTH","M","1969-11",4.548685,
"TUR","CPI","TOT","AGRWTH","M","1969-12",5.940594,
"TUR","CPI","TOT","AGRWTH","M","1970-01",6.488011,
"TUR","CPI","TOT","AGRWTH","M","1970-02",6.751055,
"TUR","CPI","TOT","AGRWTH","M","1970-03",6.891702,
"TUR","CPI","TOT","AGRWTH","M","1970-04",6.802244,
"TUR","CPI","TOT","AGRWTH","M","1970-05",6.610995,
"TUR","CPI","TOT","AGRWTH","M","1970-06",7.724426,
"TUR","CPI","TOT","AGRWTH","M","1970-07",7.60642,
"TUR","CPI","TOT","AGRWTH","M","1970-08",7.841776,
"TUR","CPI","TOT","AGRWTH","M","1970-09",9.185803,
"TUR","CPI","TOT","AGRWTH","M","1970-10",9.520548,
"TUR","CPI","TOT","AGRWTH","M","1970-11",10.19714,
"TUR","CPI","TOT","AGRWTH","M","1970-12",9.279038,
"TUR","CPI","TOT","AGRWTH","M","1971-01",9.602649,
"TUR","CPI","TOT","AGRWTH","M","1971-02",11.66008,
"TUR","CPI","TOT","AGRWTH","M","1971-03",12.56579,
"TUR","CPI","TOT","AGRWTH","M","1971-04",14.83913,
"TUR","CPI","TOT","AGRWTH","M","1971-05",15.20888,
"TUR","CPI","TOT","AGRWTH","M","1971-06",16.02067,
"TUR","CPI","TOT","AGRWTH","M","1971-07",22.89235,
"TUR","CPI","TOT","AGRWTH","M","1971-08",25.09653,
"TUR","CPI","TOT","AGRWTH","M","1971-09",25.36648,
"TUR","CPI","TOT","AGRWTH","M","1971-10",25.26579,
"TUR","CPI","TOT","AGRWTH","M","1971-11",24.79951,
"TUR","CPI","TOT","AGRWTH","M","1971-12",23.39646,
"TUR","CPI","TOT","AGRWTH","M","1972-01",21.93353,
"TUR","CPI","TOT","AGRWTH","M","1972-02",20.64897,
"TUR","CPI","TOT","AGRWTH","M","1972-03",19.63764,
"TUR","CPI","TOT","AGRWTH","M","1972-04",17.38136,
"TUR","CPI","TOT","AGRWTH","M","1972-05",17.84702,
"TUR","CPI","TOT","AGRWTH","M","1972-06",19.59911,
"TUR","CPI","TOT","AGRWTH","M","1972-07",14.77573,
"TUR","CPI","TOT","AGRWTH","M","1972-08",12.13992,
"TUR","CPI","TOT","AGRWTH","M","1972-09",11.99797,
"TUR","CPI","TOT","AGRWTH","M","1972-10",10.98352,
"TUR","CPI","TOT","AGRWTH","M","1972-11",10.47949,
"TUR","CPI","TOT","AGRWTH","M","1972-12",10.9901,
"TUR","CPI","TOT","AGRWTH","M","1973-01",12.23984,
"TUR","CPI","TOT","AGRWTH","M","1973-02",11.29584,
"TUR","CPI","TOT","AGRWTH","M","1973-03",11.38251,
"TUR","CPI","TOT","AGRWTH","M","1973-04",12.1773,
"TUR","CPI","TOT","AGRWTH","M","1973-05",12.59615,
"TUR","CPI","TOT","AGRWTH","M","1973-06",12.05773,
"TUR","CPI","TOT","AGRWTH","M","1973-07",10.98851,
"TUR","CPI","TOT","AGRWTH","M","1973-08",11.97248,
"TUR","CPI","TOT","AGRWTH","M","1973-09",15.84203,
"TUR","CPI","TOT","AGRWTH","M","1973-10",17.63383,
"TUR","CPI","TOT","AGRWTH","M","1973-11",18.29978,
"TUR","CPI","TOT","AGRWTH","M","1973-12",19.75914,
"TUR","CPI","TOT","AGRWTH","M","1974-01",19.69095,
"TUR","CPI","TOT","AGRWTH","M","1974-02",19.0246,
"TUR","CPI","TOT","AGRWTH","M","1974-03",25.4386,
"TUR","CPI","TOT","AGRWTH","M","1974-04",26.0964,
"TUR","CPI","TOT","AGRWTH","M","1974-05",26.08881,
"TUR","CPI","TOT","AGRWTH","M","1974-06",24.71957,
"TUR","CPI","TOT","AGRWTH","M","1974-07",25.89064,
"TUR","CPI","TOT","AGRWTH","M","1974-08",25.52233,
"TUR","CPI","TOT","AGRWTH","M","1974-09",23.07994,
"TUR","CPI","TOT","AGRWTH","M","1974-10",22.56214,
"TUR","CPI","TOT","AGRWTH","M","1974-11",23.82753,
"TUR","CPI","TOT","AGRWTH","M","1974-12",24.61825,
"TUR","CPI","TOT","AGRWTH","M","1975-01",24.52969,
"TUR","CPI","TOT","AGRWTH","M","1975-02",30.19564,
"TUR","CPI","TOT","AGRWTH","M","1975-03",25.87413,
"TUR","CPI","TOT","AGRWTH","M","1975-04",24.44904,
"TUR","CPI","TOT","AGRWTH","M","1975-05",23.29834,
"TUR","CPI","TOT","AGRWTH","M","1975-06",21.08594,
"TUR","CPI","TOT","AGRWTH","M","1975-07",19.74334,
"TUR","CPI","TOT","AGRWTH","M","1975-08",19.15796,
"TUR","CPI","TOT","AGRWTH","M","1975-09",17.73321,
"TUR","CPI","TOT","AGRWTH","M","1975-10",18.12793,
"TUR","CPI","TOT","AGRWTH","M","1975-11",17.19609,
"TUR","CPI","TOT","AGRWTH","M","1975-12",16.25822,
"TUR","CPI","TOT","AGRWTH","M","1976-01",19.34242,
"TUR","CPI","TOT","AGRWTH","M","1976-02",16.75645,
"TUR","CPI","TOT","AGRWTH","M","1976-03",15.61111,
"TUR","CPI","TOT","AGRWTH","M","1976-04",15.35695,
"TUR","CPI","TOT","AGRWTH","M","1976-05",14.99588,
"TUR","CPI","TOT","AGRWTH","M","1976-06",16.69876,
"TUR","CPI","TOT","AGRWTH","M","1976-07",17.47733,
"TUR","CPI","TOT","AGRWTH","M","1976-08",18.73459,
"TUR","CPI","TOT","AGRWTH","M","1976-09",19.33478,
"TUR","CPI","TOT","AGRWTH","M","1976-10",18.33069,
"TUR","CPI","TOT","AGRWTH","M","1976-11",17.38337,
"TUR","CPI","TOT","AGRWTH","M","1976-12",19.33162,
"TUR","CPI","TOT","AGRWTH","M","1977-01",15.98412,
"TUR","CPI","TOT","AGRWTH","M","1977-02",15.25012,
"TUR","CPI","TOT","AGRWTH","M","1977-03",16.89092,
"TUR","CPI","TOT","AGRWTH","M","1977-04",18.10986,
"TUR","CPI","TOT","AGRWTH","M","1977-05",19.48889,
"TUR","CPI","TOT","AGRWTH","M","1977-06",18.71759,
"TUR","CPI","TOT","AGRWTH","M","1977-07",22.05848,
"TUR","CPI","TOT","AGRWTH","M","1977-08",22.69896,
"TUR","CPI","TOT","AGRWTH","M","1977-09",29.34512,
"TUR","CPI","TOT","AGRWTH","M","1977-10",36.60714,
"TUR","CPI","TOT","AGRWTH","M","1977-11",44.93783,
"TUR","CPI","TOT","AGRWTH","M","1977-12",46.76863,
"TUR","CPI","TOT","AGRWTH","M","1978-01",51.61567,
"TUR","CPI","TOT","AGRWTH","M","1978-02",57.22714,
"TUR","CPI","TOT","AGRWTH","M","1978-03",56.23844,
"TUR","CPI","TOT","AGRWTH","M","1978-04",58.97644,
"TUR","CPI","TOT","AGRWTH","M","1978-05",64.56126,
"TUR","CPI","TOT","AGRWTH","M","1978-06",70.1946,
"TUR","CPI","TOT","AGRWTH","M","1978-07",70.48678,
"TUR","CPI","TOT","AGRWTH","M","1978-08",71.66761,
"TUR","CPI","TOT","AGRWTH","M","1978-09",67.15137,
"TUR","CPI","TOT","AGRWTH","M","1978-10",63.43137,
"TUR","CPI","TOT","AGRWTH","M","1978-11",58.04228,
"TUR","CPI","TOT","AGRWTH","M","1978-12",53.97035,
"TUR","CPI","TOT","AGRWTH","M","1979-01",51.51729,
"TUR","CPI","TOT","AGRWTH","M","1979-02",47.07853,
"TUR","CPI","TOT","AGRWTH","M","1979-03",47.99369,
"TUR","CPI","TOT","AGRWTH","M","1979-04",51.02197,
"TUR","CPI","TOT","AGRWTH","M","1979-05",49.92105,
"TUR","CPI","TOT","AGRWTH","M","1979-06",59.59631,
"TUR","CPI","TOT","AGRWTH","M","1979-07",67.08633,
"TUR","CPI","TOT","AGRWTH","M","1979-08",69.58712,
"TUR","CPI","TOT","AGRWTH","M","1979-09",69.83545,
"TUR","CPI","TOT","AGRWTH","M","1979-10",73.20536,
"TUR","CPI","TOT","AGRWTH","M","1979-11",76.62111,
"TUR","CPI","TOT","AGRWTH","M","1979-12",81.83984,
"TUR","CPI","TOT","AGRWTH","M","1980-01",96.19003,
"TUR","CPI","TOT","AGRWTH","M","1980-02",117.4032,
"TUR","CPI","TOT","AGRWTH","M","1980-03",120.1085,
"TUR","CPI","TOT","AGRWTH","M","1980-04",117.4421,
"TUR","CPI","TOT","AGRWTH","M","1980-05",114.5427,
"TUR","CPI","TOT","AGRWTH","M","1980-06",101.3524,
"TUR","CPI","TOT","AGRWTH","M","1980-07",89.24246,
"TUR","CPI","TOT","AGRWTH","M","1980-08",88.17565,
"TUR","CPI","TOT","AGRWTH","M","1980-09",86.68847,
"TUR","CPI","TOT","AGRWTH","M","1980-10",82.67721,
"TUR","CPI","TOT","AGRWTH","M","1980-11",76.22654,
"TUR","CPI","TOT","AGRWTH","M","1980-12",75.07208,
"TUR","CPI","TOT","AGRWTH","M","1981-01",64.21348,
"TUR","CPI","TOT","AGRWTH","M","1981-02",47.02431,
"TUR","CPI","TOT","AGRWTH","M","1981-03",42.63732,
"TUR","CPI","TOT","AGRWTH","M","1981-04",38.15841,
"TUR","CPI","TOT","AGRWTH","M","1981-05",37.81202,
"TUR","CPI","TOT","AGRWTH","M","1981-06",37.7192,
"TUR","CPI","TOT","AGRWTH","M","1981-07",36.69878,
"TUR","CPI","TOT","AGRWTH","M","1981-08",33.05536,
"TUR","CPI","TOT","AGRWTH","M","1981-09",34.27655,
"TUR","CPI","TOT","AGRWTH","M","1981-10",31.38054,
"TUR","CPI","TOT","AGRWTH","M","1981-11",32.22471,
"TUR","CPI","TOT","AGRWTH","M","1981-12",28.5971,
"TUR","CPI","TOT","AGRWTH","M","1982-01",30.15758,
"TUR","CPI","TOT","AGRWTH","M","1982-02",31.24284,
"TUR","CPI","TOT","AGRWTH","M","1982-03",33.33265,
"TUR","CPI","TOT","AGRWTH","M","1982-04",33.84559,
"TUR","CPI","TOT","AGRWTH","M","1982-05",30.65152,
"TUR","CPI","TOT","AGRWTH","M","1982-06",27.82847,
"TUR","CPI","TOT","AGRWTH","M","1982-07",27.38557,
"TUR","CPI","TOT","AGRWTH","M","1982-08",28.0481,
"TUR","CPI","TOT","AGRWTH","M","1982-09",26.01929,
"TUR","CPI","TOT","AGRWTH","M","1982-10",26.45097,
"TUR","CPI","TOT","AGRWTH","M","1982-11",26.69267,
"TUR","CPI","TOT","AGRWTH","M","1982-12",29.64224,
"TUR","CPI","TOT","AGRWTH","M","1983-01",28.87758,
"TUR","CPI","TOT","AGRWTH","M","1983-02",29.17758,
"TUR","CPI","TOT","AGRWTH","M","1983-03",28.86044,
"TUR","CPI","TOT","AGRWTH","M","1983-04",29.52816,
"TUR","CPI","TOT","AGRWTH","M","1983-05",29.99494,
"TUR","CPI","TOT","AGRWTH","M","1983-06",29.52002,
"TUR","CPI","TOT","AGRWTH","M","1983-07",29.5421,
"TUR","CPI","TOT","AGRWTH","M","1983-08",30.79913,
"TUR","CPI","TOT","AGRWTH","M","1983-09",30.95406,
"TUR","CPI","TOT","AGRWTH","M","1983-10",34.26606,
"TUR","CPI","TOT","AGRWTH","M","1983-11",36.1354,
"TUR","CPI","TOT","AGRWTH","M","1983-12",37.0587,
"TUR","CPI","TOT","AGRWTH","M","1984-01",36.06319,
"TUR","CPI","TOT","AGRWTH","M","1984-02",34.75264,
"TUR","CPI","TOT","AGRWTH","M","1984-03",36.16852,
"TUR","CPI","TOT","AGRWTH","M","1984-04",42.55777,
"TUR","CPI","TOT","AGRWTH","M","1984-05",48.48249,
"TUR","CPI","TOT","AGRWTH","M","1984-06",56.04839,
"TUR","CPI","TOT","AGRWTH","M","1984-07",55.87229,
"TUR","CPI","TOT","AGRWTH","M","1984-08",56.10028,
"TUR","CPI","TOT","AGRWTH","M","1984-09",54.34431,
"TUR","CPI","TOT","AGRWTH","M","1984-10",52.95525,
"TUR","CPI","TOT","AGRWTH","M","1984-11",53.12037,
"TUR","CPI","TOT","AGRWTH","M","1984-12",49.68394,
"TUR","CPI","TOT","AGRWTH","M","1985-01",52.76505,
"TUR","CPI","TOT","AGRWTH","M","1985-02",55.43184,
"TUR","CPI","TOT","AGRWTH","M","1985-03",57.96848,
"TUR","CPI","TOT","AGRWTH","M","1985-04",49.93818,
"TUR","CPI","TOT","AGRWTH","M","1985-05",46.43606,
"TUR","CPI","TOT","AGRWTH","M","1985-06",36.47102,
"TUR","CPI","TOT","AGRWTH","M","1985-07",37.14948,
"TUR","CPI","TOT","AGRWTH","M","1985-08",37.28289,
"TUR","CPI","TOT","AGRWTH","M","1985-09",40.88578,
"TUR","CPI","TOT","AGRWTH","M","1985-10",43.45544,
"TUR","CPI","TOT","AGRWTH","M","1985-11",44.54242,
"TUR","CPI","TOT","AGRWTH","M","1985-12",44.19341,
"TUR","CPI","TOT","AGRWTH","M","1986-01",40.95,
"TUR","CPI","TOT","AGRWTH","M","1986-02",38.81897,
"TUR","CPI","TOT","AGRWTH","M","1986-03",34.21101,
"TUR","CPI","TOT","AGRWTH","M","1986-04",33.60821,
"TUR","CPI","TOT","AGRWTH","M","1986-05",32.95454,
"TUR","CPI","TOT","AGRWTH","M","1986-06",37.17429,
"TUR","CPI","TOT","AGRWTH","M","1986-07",37.78114,
"TUR","CPI","TOT","AGRWTH","M","1986-08",35.4766,
"TUR","CPI","TOT","AGRWTH","M","1986-09",32.31304,
"TUR","CPI","TOT","AGRWTH","M","1986-10",33.65512,
"TUR","CPI","TOT","AGRWTH","M","1986-11",30.6376,
"TUR","CPI","TOT","AGRWTH","M","1986-12",30.67067,
"TUR","CPI","TOT","AGRWTH","M","1987-01",30.34409,
"TUR","CPI","TOT","AGRWTH","M","1987-02",31.57601,
"TUR","CPI","TOT","AGRWTH","M","1987-03",34.73532,
"TUR","CPI","TOT","AGRWTH","M","1987-04",37.03881,
"TUR","CPI","TOT","AGRWTH","M","1987-05",41.11986,
"TUR","CPI","TOT","AGRWTH","M","1987-06",37.6824,
"TUR","CPI","TOT","AGRWTH","M","1987-07",37.73792,
"TUR","CPI","TOT","AGRWTH","M","1987-08",38.8896,
"TUR","CPI","TOT","AGRWTH","M","1987-09",39.73365,
"TUR","CPI","TOT","AGRWTH","M","1987-10",36.42824,
"TUR","CPI","TOT","AGRWTH","M","1987-11",41.72219,
"TUR","CPI","TOT","AGRWTH","M","1987-12",55.05127,
"TUR","CPI","TOT","AGRWTH","M","1988-01",59.63423,
"TUR","CPI","TOT","AGRWTH","M","1988-02",61.24436,
"TUR","CPI","TOT","AGRWTH","M","1988-03",64.04794,
"TUR","CPI","TOT","AGRWTH","M","1988-04",70.69837,
"TUR","CPI","TOT","AGRWTH","M","1988-05",68.29852,
"TUR","CPI","TOT","AGRWTH","M","1988-06",69.98402,
"TUR","CPI","TOT","AGRWTH","M","1988-07",69.45575,
"TUR","CPI","TOT","AGRWTH","M","1988-08",70.5777,
"TUR","CPI","TOT","AGRWTH","M","1988-09",75.53543,
"TUR","CPI","TOT","AGRWTH","M","1988-10",76.84906,
"TUR","CPI","TOT","AGRWTH","M","1988-11",75.34188,
"TUR","CPI","TOT","AGRWTH","M","1988-12",61.56528,
"TUR","CPI","TOT","AGRWTH","M","1989-01",62.5,
"TUR","CPI","TOT","AGRWTH","M","1989-02",64.12743,
"TUR","CPI","TOT","AGRWTH","M","1989-03",60.23622,
"TUR","CPI","TOT","AGRWTH","M","1989-04",60.22236,
"TUR","CPI","TOT","AGRWTH","M","1989-05",59.58209,
"TUR","CPI","TOT","AGRWTH","M","1989-06",61.47929,
"TUR","CPI","TOT","AGRWTH","M","1989-07",63.77402,
"TUR","CPI","TOT","AGRWTH","M","1989-08",65.58589,
"TUR","CPI","TOT","AGRWTH","M","1989-09",65.145,
"TUR","CPI","TOT","AGRWTH","M","1989-10",66.07324,
"TUR","CPI","TOT","AGRWTH","M","1989-11",64.5099,
"TUR","CPI","TOT","AGRWTH","M","1989-12",64.27898,
"TUR","CPI","TOT","AGRWTH","M","1990-01",60.03537,
"TUR","CPI","TOT","AGRWTH","M","1990-02",59.49367,
"TUR","CPI","TOT","AGRWTH","M","1990-03",62.81736,
"TUR","CPI","TOT","AGRWTH","M","1990-04",63.45412,
"TUR","CPI","TOT","AGRWTH","M","1990-05",63.48672,
"TUR","CPI","TOT","AGRWTH","M","1990-06",62.55038,
"TUR","CPI","TOT","AGRWTH","M","1990-07",56.29445,
"TUR","CPI","TOT","AGRWTH","M","1990-08",54.82652,
"TUR","CPI","TOT","AGRWTH","M","1990-09",59.31707,
"TUR","CPI","TOT","AGRWTH","M","1990-10",60.30628,
"TUR","CPI","TOT","AGRWTH","M","1990-11",61.31494,
"TUR","CPI","TOT","AGRWTH","M","1990-12",60.41308,
"TUR","CPI","TOT","AGRWTH","M","1991-01",61.98895,
